,Report Author,Source,Short Source,U5 Population ('000s)
18,"Instituto Nacional de EstatÃ­stica (INE), MinistÃ©rio da SaÃºde (MINSA), MinistÃ©rio do Planeamento e do Desenvolvimento Territorial (MINPLAN) and ICF International.","InquÃ©rito de Indicadores MÃºltiplos e de SaÃºde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN e ICF International (and additional analysis)",DHS,5192.358
19,"Lejarraga H, Krupitzky S, Gimenez E, Diament N, Kelmansky A, Tibaldi F, et al.",The organisation of a national survey for evaluating child psychomotor development in Argentina. Paediatric and Perinatal Epidemiology 1997;11:359-373 (and additional analysis).,Other,3579.943
20,"Calvo EB, Longo EN et al.","Encuesta antropometrica en menores de 6 aÃ±os bajo programa materno infantil. In: Estudios antropometricos en la poblacion infanto-juvenil. Rep. Argentina 1993-1996. Ministerio de Salud y Accion Social. Buenos Aires, 1999 (and additional analysis).",Other,3574.466
21,"DurÃ¡n P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA.",Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS). Archivos Argentinos de Pediatria 2009;107:397-404 (and additional analysis).,Other,3558.316
22,"Ministry of Health and Environment (Argentina),","Segunda Encuesta Nacional de Nutricion y Salud, Argentina 2004-2005",Other,3741.882
23,National Institute of Nutrition,"The health and nutritional status of children an women in Armenia. National Institute of Nutrition - Italy, 1998 (and additional analysis).",Other,222.626
24,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2000. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2001 (and additional analysis).",DHS,196.554
25,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006 (and additional analysis).",DHS,186.629
26,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF International.","Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012 (and additional analysis).",DHS,201.083
27,"National Statistical Service Armenia, Yerevan; Ministry of Health Armenia, Yerevan; The DHS Program ICF International Rockville Maryland","Armenia Demographic and Health Survey 2015-16. Rockville, Maryland, USA: National Statistical Service, Ministry of Health, and ICF (and additional analysis)",DHS,213.834
28,Australian Bureau of Statistics and Commonwealth Department of Health and Family Services,"National nutrition survey Australia 1995. Canberra: Australian Bureau of Statistics and Commonwealth Department of Health and Family Services, 1997 (and additional analysis).",NNS,1297.817
29,Australian Bureau of Statistics and Commonwealth Department of Health and Family Services,"The 2007 national children's nutrition and physical activity survey. Canberra, Australia: DoHA, 2010 (and additional analysis).",Other,1328.02
30,Australian Bureau of Statistics,Australia National Health Survey 2014-15,Other,1551.012
31,Australian Bureau of Statistics,Australia National Health Survey 2017-18,Other,1595.449
32,"Branca F, Burkholder B, Hamel M, Parvanta I, Robertson A.","Health and nutrition survey of internally displaced and resident population of Azerbaijan - April 1996. Baku, Azerbaijan, 1996 (and additional analysis).",Other,855.415
33,"State Statistics Committee, United Nations Children's Fund","Azerbaijan multiple indicator cluster survey 2000 (MICS). Baku, Azerbaijan: United Nations Children's Fund, 2001 (and additional analysis).",MICS,712.542
34,"Adventist Development and Relief Agency, Azerbaijan Ministry of Health, State Committee of Statistics, Mercy Corps [Baku, Azerbaijan], DRH/CDC, USAID,","UNFPA, UNHCR. Reproductive health survey Azerbaijan, 2001: Final report. Serbanescu F, Morris L, Rahimova S, Stupp P, eds. Atlanta, GA: US Department of Health and Human Services, CDC, 2003 (and additional analysis).",RHS,674.032
35,State Statistical Committee (SSC) [Azerbaijan] and Macro International Inc.,"Azerbaijan demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008 (and additional analysis).",DHS,656.929
36,"Public Health and Reforms Center (PHRC) [Azerbaijan]; Ministry of Health (MoH) [Azerbaijan], Baku, Azerbaijan","The Demographic and Health Survey, Azerbaijan, 2011 Final Report",DHS-Style,734.346
37,"Ministry of Health, State Statistical Committee and UNICEF [Azerbaijan].","Azerbaijan nutrition survey (AzNS), 2013. Baku, Republic of Azerbaijan, 2014 (and additional analysis)",NNS,809.746
38,Ministry of Health.,"Bahrain child health survey 1989. Manama, Bahrain, 1992.",Other,65.452
39,Naseeb T and Farid SM.,"Bahrain family health survey 1995: principal report. Manama, Bahrain: Ministry of Health, 2000.",GFHS,61.29
40,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status module, Bangladesh household expenditure survey 1985-86. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1987 (and additional analysis).",Other,15384.621
41,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status survey 1989-90. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1991 (and additional analysis).",Other,15889.547
42,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1991: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,15998.584
43,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1992: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16042.636
44,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1993: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16047.015
45,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1994: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16047.944
46,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1995: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16075.268
47,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1996: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16113.488
48,"National Institute of Population Research and Training, Mitra and Associates and Macro International Inc.","Bangladesh demographic and health survey 1996-97. Demographic and Health Surveys. National Institute for Population Research and Training. Dhaka, Bangladesh, 1997 (and additional analysis).",DHS,16160.17
49,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1998: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16211.608
50,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1999: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16254.467
51,"National Institute of Population Research and Training, Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 1999-2000 (DHS). Dhaka, Bangladesh and Calverton, Maryland: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro, 2001 (and additional analysis).",DHS,16282.15
52,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2001: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16368.469
53,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2002: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16391.13
54,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2003: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",Surveillance,16357.212
55,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 2004. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland [USA]: NIPORT, Mitra and Associates, and ORC Macro, 2005 (and additional analysis).",DHS,16275.278
56,Helen Keller International (HKI) and Institute of Public Health Nutrition.,"Nutritional Surveillance Project 2005: Rural data (using the WHO Child Growth Standards). Unpublished estimates. Dhakar, Bangladesh: HKI and Institute of Public Health Nutrition, 2007.",Surveillance,16156.707
57,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2006: data on rural national data (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008 (and additional analysis).",Surveillance,16077.841
58,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International.","Bangladesh demographic and health survey 2007. DHS. Dhaka, Bangladesh and Calverton, Maryland, USA: National Institute of Population Research and Training, Mitra and Associates, and Macro International, 2009 (and additional analysis).",DHS,15911.48
59,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh demographic and health survey 2011. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, Mitra and Associates, and ICF International, 2013 (and additional analysis).",DHS,15076.216
60,Bangladesh Bureau of Statistics and UNICEF Bangladesh.,"Bangladesh 2012-13 multiple indicator cluster survey. Final Report. Dhaka, Bangladesh: Bangladesh Bureau of Statistics and UNICEF Bangladesh, 2014 (and additional analysis)",MICS,14844.468
61,"Shahin S, Bhadra SK and Ahsanul Alam M.","Utilization of Essential Service Delivery (UESD) Survey 2013. Dhaka: National Institute of Population Research and Training (NIPORT), 2014.",Other,14844.468
62,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh Demographic and Health Survey 2014. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates, and ICF International. 2016 (and additional analysis)",DHS,14770.88
63,"National Institute of Population Research and Training (NIPORT), and ICF","Bangladesh Demographic and Health Survey 2017-18: Key Indicators. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, and ICF.",DHS,14516.613
64,Barbados Statistical Service (BSS).,"Barbados multiple indicator cluster survey 2012: Final report (MICS4). Bridgetown, Barbados: BSS, 2014 (and additional analysis)",MICS,16.653
65,Ministry of Statistics and Analysis (MSA) of the Republic of Belarus and Research Institute of Statistics of the MSA of the Republic of Belarus.,"Belarus multiple indicator cluster survey 2005, final report. Minsk, Republic of Belarus: Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus], 2007 (and additional analysis).",MICS,445.676
66,Ministry of Health.,"Assessment of the food, nutrition and health situation of Belize. INCAP Publication DC1/002. Kingston: Institute of Nutrition of Central America and Panama, 1992 (and additional analysis).",Other,30.406
67,Statistical Institute of Belize (SIB) and UNICEF.,"Multiple indicator cluster survey Belize, 2006. UNICEF (and additional analysis).",MICS,37.919
68,Statistical Institute of Belize (SIB) and UNICEF.,"Belize multiple indicator cluster survey 2011 (MICS). Belize city, Belize: SIB and UNICEF, 2012 (and additional analysis).",MICS,37.507
69,"Statistical Institute of Belize, Government of Belize, and UNICEF","Belize Multiple Indicator Cluster Survey, 2015-2016, Final Report. Belmopan, Belize: Statistical Institute of Belize and UNICEF Belize (and additional analysis)",MICS,38.586
70,"KodjogbÃ© N, Mboup G, Tossou J, de Souza L, Gandaho T, GuÃ©dÃ©mÃ© A et al.","EnquÃªte dÃ©mographique et de santÃ© 1996. Demographic and Health Surveys. MinistÃ¨re du Plan, de la Restructuration Economique et de la Promotion de l'Emploi. Cotonou, Benin, 1997 (and additional analysis).",DHS,1107.596
71,Institut National de la Statistique et de l'Analyse Economique (INSAE) et ORC Macro.,"EnquÃªte dÃ©mographique et de santÃ© au BÃ©nin 2001. Demographic and Health Surveys. Calverton, Maryland, USA: Institut National de la Statistique et de l'Analyse Economique et ORC Macro, 2002 (and additional analysis).",DHS,1252.442
72,Institut National de la Statistique et de l'Analyse Economique (INSAE).,"EnquÃªte par grappes Ã  indicateurs multiples 2014, Rapport final , Cotonou, BÃ©nin : Institut national de la statistique et de lâ€™analyse Ã©conomique (and additional analysis)",MICS,1704.452
73,Institut National de la Statistique et de lâ€™Analyse Ã‰conomique (INSAE) et ICF.,"EnquÃªte DÃ©mographique et de SantÃ© au BÃ©nin, 2017-2018 : Indicateurs ClÃ©s. Cotonou, BÃ©nin et Rockville, Maryland, USA : INSAE et ICF",DHS,1841.613
74,Bhutan Directorate of Health Services,Bhutan Directorate of Health Services. Report on the national nutrition survey. Bhutan; December 1989.,NNS,84.935
75,Ministry of Health and Education.,"National anthropometric survey of under five children in Bhutan. Division of Health Services. Thimpu, Bhutan, 1999 (and additional analysis).",NNS,78.478
76,"Zangmo U, de Onis M, Dorji T.",The nutritional status of children in Bhutan: results from the national nutrition survey of 2008 and trends over time. BMC Pediatrics 2012;12:151.,NNS,68.817
77,National Statistics Bureau (NSB).,"Bhutan multiple indicator cluster survey (BMIS) 2010. Thimphu, Bhutan: NSB, May 2011 (and additional analysis).",MICS,66.957
78,Ministerio de Planeamiento y Coordinacion.,"Situacion alimentaria y nutricional de Bolivia 1992. La Paz: Instituto Nacional de Alimentacion y Nutricion, 1992 (and additional analysis).",Surveillance,996.065
79,Ministerio de Planeamiento y Coordinacion.,"Encuesta nacional de demografia y salud 1989. Demographic and Health Surveys. La Paz, Bolivia, 1990 (and additional analysis).",DHS,1013.338
80,Ministerio de Planeamiento y Coordinacion.,"Situacion alimentaria y nutricional de Bolivia 1992. La Paz: Instituto Nacional de Alimentacion y Nutricion, 1992 (and additional analysis).",Surveillance,1030.271
81,Ministerio de Planeamiento y Coordinacion.,"Situacion alimentaria y nutricional de Bolivia 1992. La Paz: Instituto Nacional de Alimentacion y Nutricion, 1992 (and additional analysis).",Surveillance,1052.057
82,Ministerio de Desarrollo Humano.,"Bolivia: mapa de la desnutricion 1990-1992. La Paz, Bolivia, 1994 (and additional analysis).",Other,1066.86
83,Ministerio de Desarrollo Sostenible y Medio Ambiente.,"Encuesta nacional de demografia y salud 1994. Demographic and Health Surveys. La Paz, Bolivia, 1994 (and additional analysis).",DHS,1086.076
84,Ministerio de Haciendo and Instituto Nacional de Estadistica.,"Encuesta nacional de demografia y salud 1998. Demographic and Health Surveys. La Paz, Bolivia, 1998 (and additional analysis).",DHS,1132.938
85,"GutiÃ©rrez Sardan M, Hernando Ochoa L, Castillo Guerra W.","Encuesta nacional de demografia y salud (ENDSA) 2003. Demographic and Health Surveys. La Paz, Bolivia: Instituto Nacional de Estadistica, Ministerio de Salud y Deportes, Programa Measure DHS+/ORC Macro, 2004 (and additional analysis).",DHS,1182.636
86,"Ministerio de Salud y Deportes (MSD), Programa Reforma de Salud (PRS), Instituto Nacional de EstadÃ­stica (INE) y Macro International.","Encuesta nacional de demografÃ­a y salud ENDSA 2008. Demographic and Health Surveys. La Paz, Bolivia: MSD, PRS, INE y Macro International, 2009 (and additional analysis).",DHS,1196.198
87,"Ministerio de Salud, Unidad de AnÃ¡lisis de PolÃ­ticas Sociales y EconÃ³micas (UDAPE).",Encuesta de EvaluaciÃ³n de Salud y NutriciÃ³n 2012: Informe de Resultados,Other,1191.066
88,National Institute of Statistics (Bolivia),Bolivia Encuesta de Demografia y Salud - EDSA 2016: Indicadores Priorizados (and additional analysis),DHS-Style,1198.939
89,"State of Bosnia and Herzegovina - Agency for Statistics, Federation of Bosnia and Herzegovina, Republika Srpska, Organisation for Security and Co-operation in Europe, UNICEF","Household survey of women and children: Bosnia and Herzegovina 2000 (B&H MICS 2000): Draft final report, May 29, 2002. Sarajevo, Bosnia and Herzegovina: UNICEF, 2002 (and additional analysis).",MICS,234.469
90,"Directorate for Economic Planning of Bosnia and Herzegovina, the Ministry of Health and Social Protection of the Republika Srpska and the Ministry of Health of the Federation of Bosnia and Herzegovina","Bosnia and Herzegovina multiple indicator cluster survey 2006. Sarajevo, Bosnia and Herzegovina: UNICEF, 2007 (and additional analysis).",MICS,165.01
91,"Agency for Statistics [Bosnia and Herzegovina], the Federal Ministry of Health, the Ministry of Health and Social Welfare [Republic of Srpska], and","Institute for Public Health [Federation of Bosnia and Herzegovina]. Bosnia and Herzegovina multiple indicator cluster survey (MICS) 2011-2012. Final report. Sarajevo, Federation of Bosnia and Herzegovina: UNICEF, 2013 (and additional analysis).",MICS,182.991
92,Central Statistics Office,"The 1996 Botswana family health survey III. Gaborone: Central Statistics Office, 1999 (and additional analysis).",Other,218.624
93,"Charumbira, Republic of Botwana, Central Statistic Office (CSO), UNICEF","Multiple indicator survey (MIS) 2000. Full report. Gaborone, Botswana, 2001 (and additional analysis).",MICS,216.961
94,Central Statistics Office (CSO) and UNICEF.,"2007 Botswana family health survey IV report. Gaborone, Botswana: CSO, 2009 (and additional analysis by UNICEF).",Other,244.542
95,"Monteiro CA, Benicio MH, Gouveia NC.","Growth and nutritional status of the Brazilian children: findings from the 1989 National Health and Nutrition Survey. Country Studies on Nutritional Anthropometry NUT/ANTREF/1/91. Geneva: World Health Organization, 1991 (and additional analysis).",Other,17947.734
96,Sociedade Civil Bem-Estar Familiar no Brasil (BEMFAM) e MACRO International Inc.,"Pesquisa nacional sobre demografia e saude 1996. Demographic and Health Surveys. Rio de Janeiro, Brasil: Litografia Tucano Ltda., 1997 (and additional analysis).",DHS,17456.822
97,"LaboratÃ³rio de AvaliaÃ§ao Nutricional de PopulaÃ§oes, Universidade de Sao Paulo (LANPOP-USP).","Pesquisa de orÃ§amentos familiares (POF - 2002-03). Rio de Janeiro, Brazil, 2007 (http://www.ibge.gov.br/home/estatistica/populacao/condicaodevida/pof/2003medidas/default.shtm).",Other,17238.868
98,Centro Brasileiro de AnÃ¡lise e Planejamento [CEBRAP].,"Pesquisa nacional de demografia e saÃºde da crianÃ§a e da mulher - PNDS 2006. RelatÃ³rio da pesquisa. Sao Paulo: CEBRAP, 2008 (and additional analysis).",Other,15642.56
99,"Ministry of Health, Brunei Darussalam.","2nd National health and nutritional status survey (NHANSS). Phase 1: 0-5 years old. Brunei Darussalam, January 2013.",Other,31.337
100,"Baykova D, Duleva V, Petrova S, Angelova K, Jordanov B, Vatralova K, Ovcharova D.","National monitoring of dietary intake and nutritional status of Bulgarian population, 2004. Department of Nutrition and Public Health, National Center of Public Health Protection, Sofia, Bulgaria (and additional analysis).",NNS,323.271
101,"PROPELLER, Sofia",Nutrition and Nutritional Status of Children aged under 5 years in Bulgaria,NNS,361.28
102,Ministry of Health,National Survey of Nutrition Factor for Health Risk among the Population in Bulgaria,NNS,347.561
103,"KonatÃ© DL, SinarÃ© T, Seroussi M.","EnquÃªte dÃ©mographique et de santÃ©, Burkina Faso 1993. Demographic and Health Surveys. Ouagadougou, Burkina Faso, 1994 (and additional analysis).",DHS,1794.843
104,"Institut National de la Statistique et de la DÃ©mographie, et Macro International Inc.","EnquÃªte dÃ©mographique et de santÃ©, Burkina Faso 1998-1999. Demographic and Health Surveys. Calverton, Maryland (USA): Macro International Inc., 2000 (and additional analysis).",DHS,2113.613
105,Institut National de la Statistique et de le DÃ©mographie (INSD) et ORC Macro.,"EnquÃªte dÃ©mographique et de santÃ© du Burkina Faso 2003. Demographic and Health Surveys. Calverton, Maryland, USA: INSD et ORC Macro, 2004 (and additional analysis).",DHS,2360.635
106,Institut National de la Statistique et de la DÃ©mographie et UNICEF.,"Burkina Faso, suivi de la situation des enfants et des femmes. EnquÃªte par grappes Ã  indicateurs multiples 2006. Burkina Faso, 2008 (and additional analysis).",MICS,2564.716
107,Ministry of Health.,"EnquÃªte nutritionnelle nationale 2009. Ouagadougou, Burkina Faso: Direction de la Nutrition, 2009 (and additional analysis).",SMART,2773.741
108,Institut National de la Statistique et de la DÃ©mographie (INSD) et ICF International.,"EnquÃªte dÃ©mographique et de santÃ© et Ã  indicateurs multiples du Burkina Faso 2010. Demographic and Health Surveys and MICS. Calverton, Maryland, USA: INSD, 2012 (and additional analysis).",DHS,2842.946
109,"Direction de la Nutrition, MinistÃ¨re de la SantÃ©.","Rapport enquÃªte nutritionnelle nationale 2011. Ouagadougou, Burkona Faso, 2012 (and additional analysis)",SMART,2920.986
110,"Direction de la Nutrition, MinistÃ¨re de la SantÃ©.","EnquÃªte nutritionnelle nationale 2012. Rapport final. Ouagadougou, Burkina Faso, 2012 (and additional analysis)",SMART,2986.467
111,"Ministere de la Sante, Secretariat General",Enquete Nutritionnelle Nationale 2013 (and additional analysis),SMART,3044.475
112,"Ministere de la Sante, Secretariat General, Direction GÃ©nÃ©rale de la SantÃ©, Direction de la Nutrition","Enquete Nutritionnelle Nationale - Rapport final, Burkina Faso, DÃ©cembre 2014 (and additonal analysis)",SMART,3101.116
113,"MinistÃ¨re de la santÃ©, USAID, UNICEF, WFP, WHO.","EnquÃªte nutritionnelle nationale 2016. Burkina Faso SMART Survey, Rapport final, December 2016 (and additional analysis).",SMART,3220.629
114,MinistÃ¨re de la SantÃ©,"EnquÃªte Nutritionnelle Nationale, Burkina Faso 2017 (and additional analysis)",SMART,3281.695
115,"Ministere de la Sante, Secretariat General","Enquete Nutritionnelle Nationale, Burkina Faso 2018",SMART,3344.616
116,"Segamba L, Ndikumasabo V, Makinson C, Ayad M.","EnquÃªte dÃ©mographique et de la santÃ© au Burundi, 1987. Demographic and Health Surveys. Gsitega, Burundi, 1988 (and additional analysis).",DHS,1021.437
117,Institut de Statistique et d'Etudes Economiques du Burundi.,"EnquÃªte nationale d'evaluation des conditions de vie de l'enfant et de la femme au Burundi (ENECEF-BURUNDI 2000): Rapport final (MICS). Bujumbura: RÃ©publique du Burundi and UNICEF, 2001 (and additional analysis).",MICS,1155.817
118,"MinistÃ¨re de la SantÃ© Publique, Programme de lutte contre les maladies transmissibles et carentielles, World Food Programme, UNICEF.","Rapport de l'enquÃªte nationale de nutrition de la population, 2005. Bujumbura, Burundi, October 2006 (and additional analysis).",NNS,1306.825
119,"Institut de Statistiques et d'Ã‰tudes Ã‰conomiques du Burundi (ISTEEBU), MinistÃ¨re de la SantÃ© Publique et de la Lutte contre le Sida [Burundi] (MSPLS),","EnquÃªte dÃ©mographique et de santÃ© Burundi 2010. Demographic and Health Surveys. Bujumbura, Burundi : ISTEEBU, MSPLS, et ICF International, 2012 (and additional analysis).",DHS,1578.653
120,"MinistÃ¨re Ã  la PrÃ©sidence chargÃ© de la Bonne Gouvernance et du Plan [Burundi] (MPBGP), MinistÃ¨re de la SantÃ© Publique et de la Lutte contre le Sida [Burundi] (MSPLS), Institut de Statistiques et dâ€™Ã‰tudes Ã‰conomiques du Burundi (ISTEEBU), et ICF","TroisiÃ¨me EnquÃªte DÃ©mographique et de SantÃ©. Bujumbura, Burundi 2016-17: ISTEEBU, MSPLS, et ICF (and additional analysis)",DHS,1905.899
121,Institut de Statistiques et d'Etudes Economique du Burundi,"Enquete Nationale sur la Situation Nutritionnelle et la Securite Alimentaire au Burundi (ENSNSAB), Decembre 2018",CFSVA,2018.697
122,"Reitmaier P, Dupret A, Cutting WAM.",Better health data with a portable microcomputer at the periphery: an anthropometric survey in Cape Verde. Bulletin of the World Health Organization 1987;65:651-657 (and additional analysis).,Other,56.484
123,"Ferreira Medina JB, Skard T, Sobhy S, America Ungaretti M.","A saude das crianÃ§as menores de cinco anos em Cabo Verde. MinistÃ©rio de Saude e PromoÃ§ao Social e UNICEF. Cabo Verde, 1996 (and additional analysis).",Other,64.682
